"filename", "language", "Go", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\README.md", "Markdown", 0, 0, 1, 0, 0, 1
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\source\go.mod", "XML", 0, 2, 0, 0, 2, 4
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\source\main.go", "Go", 8, 0, 0, 0, 5, 13
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\source\pkg\fileutils\fileutils.go", "Go", 21, 0, 0, 1, 7, 29
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\source\pkg\png\consts.go", "Go", 6, 0, 0, 8, 7, 21
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\source\pkg\png\errors.go", "Go", 4, 0, 0, 2, 4, 10
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\source\pkg\png\png.go", "Go", 71, 0, 0, 9, 18, 98
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\source\pkg\png\png_test.go", "Go", 33, 0, 0, 5, 11, 49
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\source\pkg\png\structs.go", "Go", 14, 0, 0, 3, 4, 21
"c:\Users\Mihai\Desktop\github\steganoGo\SteganoGo\source\pkg\png\utils.go", "Go", 8, 0, 0, 1, 2, 11
"Total", "-", 165, 2, 1, 29, 60, 257
